authors,doi,link,type,model,test,methods,significance,reads,posts,score,public,scientists,communicators,doctors,citations,date_published,date_extracted,date_difference,registered,preregistered,statistics,outcome,data_available,code
"A. Golshan, P. Hayatdavoudi, M. A. Hadjzadeh, A. Khajavi Rad, N. Mohamadian Roshan, A. Abbasnezhad, S. M. Mousavi, R. Pakdel, B. Zarei and A. Aghaee",10.22038/AJP.2016.7844,https://www.ncbi.nlm.nih.gov/pubmed/28348973,intervention,rodents,kruskal,error,significant,,,,,,,,20,3/31/2017,12/09/2020,1349,no,no,no,no,no ,no
"A. Gucalp, N. M. Iyengar, X. K. Zhou, D. D. Giri, D. J. Falcone, H. Wang, S. Williams, M. D. Krasne, I. Yaghnam, B. Kunzel, P. G. Morris, L. W. Jones, M. Pollak, V. P. Laudone, C. A. Hudis, H. I. Scher, P. T. Scardino, J. A. Eastham and A. J. Dannenberg",10.1038/pcan.2017.31,https://www.ncbi.nlm.nih.gov/pubmed/28653675,observational,humans,whitney,correct,significant,49,18,7.7,10,3,1,1,20,6/27/2017,12/09/2020,1261,no,no,no,no,no ,no
"A. Lacoste Jeanson, J. Dupej, C. Villa and J. Bruzek",10.7717/peerj.3302,https://www.ncbi.nlm.nih.gov/pubmed/28533960,observational,humans,signed,ambiguous,significant,32,2,0.75,1,,,,10,5/18/2017,12/09/2020,1301,no ,no,no,no,yes,yes
"A. Mohammad, E. De Lucia Rolfe, A. Sleigh, T. Kivisild, K. Behbehani, N. J. Wareham, S. Brage and T. Mohammad",10.1038/nutd.2016.38,https://www.ncbi.nlm.nih.gov/pubmed/28067890,observational,humans,kruskal,nolink,mixed,51,1,0.5,1,,,,21,1/09/2017,12/09/2020,1430,no,no,no,no,no ,no
"A. O. Attah, T. Braaten and G. Skeie",10.1371/journal.pone.0179441,https://www.ncbi.nlm.nih.gov/pubmed/28598991,observational,humans,kruskal,nolink,mixed,15,1,0.5,,,,1,3,6/09/2017,12/09/2020,1279,no,no,no,no,request,no
"A. Quesada, A. B. Segarra, S. Montoro-Molina, M. D. de Gracia, A. Osuna, F. O'Valle, M. Gomez-Guzman, F. Vargas and R. Wangensteen",10.1371/journal.pone.0175462,https://www.ncbi.nlm.nih.gov/pubmed/28399178,intervention,rodents,whitney,nolink,significant,15,1,0.5,1,,,,6,4/11/2017,12/09/2020,1338,no,no,no,no,yes ,no
"A. V. Gadducci, R. de Cleva, G. C. de Faria Santarem, P. R. S. Silva, J. M. D. Greve and M. A. Santo",10.6061/clinics/2017(05)03,https://www.ncbi.nlm.nih.gov/pubmed/28591338,observational,humans,whitney,correct,mixed,54,1,0.25,1,,,,6,5/01/2017,12/09/2020,1318,no,no,no,no,no ,no
"C. Alvarez, R. Ramirez-Campillo, R. Ramirez-Velez and M. Izquierdo",10.3389/fphys.2017.00444,https://www.ncbi.nlm.nih.gov/pubmed/28706490,intervention,humans,signed,ambiguous,mixed,109,29,15.1,10,13,1,2,17,6/29/2017,12/09/2020,1259,no,no,no,no,no ,no 
"C. Alvarez, R. Ramirez-Campillo, R. Ramirez-Velez and M. Izquierdo",10.3389/fphys.2017.00479,https://www.ncbi.nlm.nih.gov/pubmed/28729841,intervention,humans,signed,ambiguous,significant,98,64,155.756,19,7,1,4,19,7/06/2017,12/09/2020,1252,no,no,no,no,no ,no
"C. Bastos da Cunha, F. Sicuro, P. A. Maranhao, M. A. Borges, F. Z. Cyrino, F. M. Gazolla, I. R. Madeira, M. A. N. Bordallo, E. Bouskela and L. G. Kraemer-Aguiar",10.1210/js.2017-00130,https://www.ncbi.nlm.nih.gov/pubmed/29264541,observational,humans,kruskal,ambiguous,mixed,,,,,,,,1,6/09/2017,12/09/2020,1279,yes,no,no,no,no ,no 
